1,1000,31.4,39,29.74,10.8,1720180800,2024-07-05 15:00:00+00,Sunny
1,1000,30.8,41,29.72,4.3,1720184400,2024-07-05 16:00:00+00,Sunny
1,1000,31.4,40,29.72,3.2,1720188000,2024-07-05 17:00:00+00,Sunny
1,1000,30,44,29.7,7.6,1720191600,2024-07-05 18:00:00+00,Sunny
1,1000,27.6,52,29.7,8.3,1720195200,2024-07-05 19:00:00+00,Sunny
1,1000,26,54,29.74,13.3,1720198800,2024-07-05 20:00:00+00,Sunny
1,1000,24.7,55,29.74,19.8,1720202400,2024-07-05 21:00:00+00,Clear
1,1063,22.6,62,29.75,15.1,1720206000,2024-07-05 22:00:00+00,Patchy rain possible
1,1273,20.2,81,29.76,14,1720209600,2024-07-05 23:00:00+00,Patchy light rain with thunder
1,1087,20.7,87,29.73,20.5,1720213200,2024-07-06 00:00:00+00,Thundery outbreaks possible
1,1087,20.2,90,29.76,20.2,1720216800,2024-07-06 01:00:00+00,Thundery outbreaks possible
1,1006,19.9,90,29.77,17.3,1720220400,2024-07-06 02:00:00+00,Cloudy
1,1009,19,90,29.8,13,1720224000,2024-07-06 03:00:00+00,Overcast
1,1009,18.5,88,29.84,14.8,1720227600,2024-07-06 04:00:00+00,Overcast
1,1009,18.3,87,29.84,18.4,1720231200,2024-07-06 05:00:00+00,Overcast
1,1009,18.4,84,29.86,18,1720234800,2024-07-06 06:00:00+00,Overcast
1,1009,19.3,78,29.89,20.5,1720238400,2024-07-06 07:00:00+00,Overcast
1,1003,20.2,70,29.9,20.5,1720242000,2024-07-06 08:00:00+00,Partly cloudy
1,1000,22.9,57,29.91,20.5,1720245600,2024-07-06 09:00:00+00,Sunny
1,1000,24.8,50,29.92,20.2,1720249200,2024-07-06 10:00:00+00,Sunny
1,1000,26.1,45,29.93,19.4,1720252800,2024-07-06 11:00:00+00,Sunny
1,1000,26.9,42,29.94,19.1,1720256400,2024-07-06 12:00:00+00,Sunny
1,1000,27.3,40,29.94,20.2,1720260000,2024-07-06 13:00:00+00,Sunny
1,1000,27.4,40,29.95,20.5,1720263600,2024-07-06 14:00:00+00,Sunny
1,1000,27.1,40,29.96,20.9,1720267200,2024-07-06 15:00:00+00,Sunny
1,1000,26.5,42,29.97,20.2,1720270800,2024-07-06 16:00:00+00,Sunny
1,1000,25.6,46,29.98,19.1,1720274400,2024-07-06 17:00:00+00,Sunny
1,1000,24.4,50,30,17.6,1720278000,2024-07-06 18:00:00+00,Sunny
1,1000,22.7,57,30.02,16.2,1720281600,2024-07-06 19:00:00+00,Sunny
1,1000,21.3,61,30.04,15.8,1720285200,2024-07-06 20:00:00+00,Sunny
1,1000,20.2,64,30.06,15.5,1720288800,2024-07-06 21:00:00+00,Clear
1,1000,19.2,66,30.07,14.8,1720292400,2024-07-06 22:00:00+00,Clear
1,1000,18.4,67,30.08,14.8,1720296000,2024-07-06 23:00:00+00,Clear
1,1000,16.3,67,30.14,12.2,1720299600,2024-07-07 00:00:00+00,Clear
1,1000,15.8,68,30.15,13,1720303200,2024-07-07 01:00:00+00,Clear
1,1000,15.4,68,30.16,13,1720306800,2024-07-07 02:00:00+00,Clear
1,1000,14.9,69,30.17,13.3,1720310400,2024-07-07 03:00:00+00,Clear
1,1000,14.9,68,30.19,13.7,1720314000,2024-07-07 04:00:00+00,Clear
1,1000,16.2,63,30.19,14.8,1720317600,2024-07-07 05:00:00+00,Sunny
1,1000,18.1,58,30.2,16.2,1720321200,2024-07-07 06:00:00+00,Sunny
1,1000,20.5,52,30.2,17.3,1720324800,2024-07-07 07:00:00+00,Sunny
1,1000,22.5,44,30.19,19.4,1720328400,2024-07-07 08:00:00+00,Sunny
1,1000,24.1,37,30.18,20.5,1720332000,2024-07-07 09:00:00+00,Sunny
1,1000,25.2,34,30.17,20.9,1720335600,2024-07-07 10:00:00+00,Sunny
1,1000,26.2,32,30.16,20.9,1720339200,2024-07-07 11:00:00+00,Sunny
1,1000,27.1,30,30.15,20.5,1720342800,2024-07-07 12:00:00+00,Sunny
1,1000,27.7,28,30.14,20.5,1720346400,2024-07-07 13:00:00+00,Sunny
1,1000,28,28,30.13,20.9,1720350000,2024-07-07 14:00:00+00,Sunny
1,1000,27.8,28,30.13,20.9,1720353600,2024-07-07 15:00:00+00,Sunny
1,1000,27.5,29,30.12,20.2,1720357200,2024-07-07 16:00:00+00,Sunny
1,1000,26.7,32,30.13,18.4,1720360800,2024-07-07 17:00:00+00,Sunny
1,1000,25.4,37,30.13,15.1,1720364400,2024-07-07 18:00:00+00,Sunny
1,1000,23,47,30.14,12.2,1720368000,2024-07-07 19:00:00+00,Sunny
1,1000,21,54,30.14,11.9,1720371600,2024-07-07 20:00:00+00,Sunny
1,1000,19.9,58,30.14,12.2,1720375200,2024-07-07 21:00:00+00,Clear
1,1000,19.1,59,30.15,13.3,1720378800,2024-07-07 22:00:00+00,Clear
1,1000,18.5,60,30.15,13.7,1720382400,2024-07-07 23:00:00+00,Clear
1,1000,18.8,59,30.15,13,1720386000,2024-07-08 00:00:00+00,Clear
1,1000,18.1,60,30.15,11.9,1720389600,2024-07-08 01:00:00+00,Clear
